Supplier Key: 1, Name: Supplier#000000001, Nation: PERU, Balance: 5755.940000
Supplier Key: 2, Name: Supplier#000000002, Nation: ETHIOPIA, Balance: 4032.680000
Supplier Key: 3, Name: Supplier#000000003, Nation: ARGENTINA, Balance: 4192.400000
Supplier Key: 4, Name: Supplier#000000004, Nation: MOROCCO, Balance: 4641.080000
Supplier Key: 5, Name: Supplier#000000005, Nation: IRAQ, Balance: -283.840000
Supplier Key: 6, Name: Supplier#000000006, Nation: KENYA, Balance: 1365.790000
Supplier Key: 7, Name: Supplier#000000007, Nation: UNITED KINGDOM, Balance: 6820.350000
Supplier Key: 8, Name: Supplier#000000008, Nation: PERU, Balance: 7627.850000
Supplier Key: 9, Name: Supplier#000000009, Nation: IRAN, Balance: 5302.370000
Supplier Key: 10, Name: Supplier#000000010, Nation: UNITED STATES, Balance: 3891.910000
Supplier Key: 11, Name: Supplier#000000011, Nation: CHINA, Balance: 3393.080000
Supplier Key: 12, Name: Supplier#000000012, Nation: INDIA, Balance: 1432.690000
Supplier Key: 13, Name: Supplier#000000013, Nation: CANADA, Balance: 9107.220000
Supplier Key: 14, Name: Supplier#000000014, Nation: MOROCCO, Balance: 9189.820000
Supplier Key: 15, Name: Supplier#000000015, Nation: INDIA, Balance: 308.560000
Supplier Key: 16, Name: Supplier#000000016, Nation: RUSSIA, Balance: 2972.260000
Supplier Key: 17, Name: Supplier#000000017, Nation: ROMANIA, Balance: 1687.810000
Supplier Key: 18, Name: Supplier#000000018, Nation: MOZAMBIQUE, Balance: 7040.820000
Supplier Key: 19, Name: Supplier#000000019, Nation: UNITED STATES, Balance: 6150.380000
Supplier Key: 20, Name: Supplier#000000020, Nation: CANADA, Balance: 530.820000
Supplier Key: 21, Name: Supplier#000000021, Nation: BRAZIL, Balance: 9365.800000
Supplier Key: 22, Name: Supplier#000000022, Nation: EGYPT, Balance: -966.200000
Supplier Key: 23, Name: Supplier#000000023, Nation: INDONESIA, Balance: 5926.410000
Supplier Key: 24, Name: Supplier#000000024, Nation: ALGERIA, Balance: 9170.710000
Supplier Key: 25, Name: Supplier#000000025, Nation: RUSSIA, Balance: 9198.310000
Supplier Key: 26, Name: Supplier#000000026, Nation: VIETNAM, Balance: 21.180000
Supplier Key: 27, Name: Supplier#000000027, Nation: CHINA, Balance: 1887.620000
Supplier Key: 28, Name: Supplier#000000028, Nation: ALGERIA, Balance: -891.990000
Supplier Key: 29, Name: Supplier#000000029, Nation: ARGENTINA, Balance: -811.620000
Supplier Key: 30, Name: Supplier#000000030, Nation: MOZAMBIQUE, Balance: 8080.140000
Supplier Key: 31, Name: Supplier#000000031, Nation: MOZAMBIQUE, Balance: 5916.910000
Supplier Key: 32, Name: Supplier#000000032, Nation: UNITED KINGDOM, Balance: 3556.470000
Supplier Key: 33, Name: Supplier#000000033, Nation: GERMANY, Balance: 8564.120000
Supplier Key: 34, Name: Supplier#000000034, Nation: IRAN, Balance: 237.310000
Supplier Key: 35, Name: Supplier#000000035, Nation: VIETNAM, Balance: 4381.410000
Supplier Key: 36, Name: Supplier#000000036, Nation: JORDAN, Balance: 2371.510000
Supplier Key: 37, Name: Supplier#000000037, Nation: ALGERIA, Balance: 3017.470000
Supplier Key: 38, Name: Supplier#000000038, Nation: EGYPT, Balance: 2512.410000
